locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFT_00001	CDS	648				hypothetical protein
LFT_00002	CDS	1140	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
LFT_00003	CDS	1605	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
LFT_00004	CDS	1365	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
LFT_00005	CDS	336				hypothetical protein
LFT_00006	CDS	381				hypothetical protein
LFT_00007	CDS	216				hypothetical protein
LFT_00008	CDS	687	fic_1	2.7.7.-	COG3177	Protein adenylyltransferase SoFic
LFT_00009	tRNA	76				tRNA-Met(cat)
LFT_00010	CDS	1089	mdtD_1			Putative multidrug resistance protein MdtD
LFT_00011	CDS	393				hypothetical protein
LFT_00012	CDS	1338	bchR_1	2.1.1.331	COG1032	Bacteriochlorophyllide d C-12(1)-methyltransferase
LFT_00013	CDS	195				hypothetical protein
LFT_00014	CDS	366				hypothetical protein
LFT_00015	CDS	1182	sat_1	2.7.7.4	COG2046	Sulfate adenylyltransferase
LFT_00016	CDS	345	aprB_1			Adenylylsulfate reductase subunit beta
LFT_00017	CDS	1734	aprA_1	1.8.99.2		Adenylylsulfate reductase subunit alpha
LFT_00018	CDS	123				hypothetical protein
LFT_00019	CDS	1440				hypothetical protein
LFT_00020	CDS	570				hypothetical protein
LFT_00021	CDS	1068				hypothetical protein
LFT_00022	CDS	471	nsrR_1			HTH-type transcriptional repressor NsrR
LFT_00023	CDS	1215	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
LFT_00024	CDS	414	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
LFT_00025	CDS	330			COG0316	Protein
LFT_00026	CDS	678	hscB			Co-chaperone protein HscB
LFT_00027	CDS	366	hscA_1		COG0443	Chaperone protein HscA
LFT_00028	CDS	1338	hscA_2		COG0443	Chaperone protein HscA
LFT_00029	CDS	312	fdx_1		COG0633	2Fe-2S ferredoxin
LFT_00030	CDS	204	iscX		COG2975	Protein IscX
LFT_00031	CDS	483				hypothetical protein
LFT_00032	CDS	624				Iron-sulfur cluster carrier protein
LFT_00033	CDS	489	apbC		COG0489	Iron-sulfur cluster carrier protein
LFT_00034	CDS	258				hypothetical protein
LFT_00035	CDS	807	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
LFT_00036	CDS	312		1.14.11.1		Gamma-butyrobetaine dioxygenase
LFT_00037	CDS	1062	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
LFT_00038	CDS	1218				IS256 family transposase ISPeth3
LFT_00039	CDS	132				hypothetical protein
LFT_00040	CDS	531			COG1926	putative protein
LFT_00041	CDS	1212				hypothetical protein
LFT_00042	CDS	2655				hypothetical protein
LFT_00043	CDS	567				hypothetical protein
LFT_00044	CDS	1329	serS	6.1.1.11	COG0172	Serine--tRNA ligase
LFT_00045	CDS	372				hypothetical protein
LFT_00046	CDS	726				hypothetical protein
LFT_00047	CDS	255				hypothetical protein
LFT_00048	CDS	1566	hflX			GTPase HflX
LFT_00049	CDS	492				hypothetical protein
LFT_00050	CDS	1002				hypothetical protein
LFT_00051	CDS	423				hypothetical protein
LFT_00052	CDS	1341		3.4.24.-	COG0612	putative zinc protease
LFT_00053	CDS	1446		3.4.24.-	COG0612	putative zinc protease
LFT_00054	CDS	1293				hypothetical protein
LFT_00055	CDS	1221	nhaH			Na(+)/H(+) antiporter NhaH
LFT_00056	CDS	1290	yhjE			Inner membrane metabolite transport protein YhjE
LFT_00057	CDS	306				hypothetical protein
LFT_00058	CDS	786				hypothetical protein
LFT_00059	CDS	108				hypothetical protein
LFT_00060	CDS	513				hypothetical protein
LFT_00061	CDS	378				hypothetical protein
LFT_00062	CDS	1767				hypothetical protein
LFT_00063	CDS	924				hypothetical protein
LFT_00064	CDS	177				hypothetical protein
LFT_00065	CDS	702				hypothetical protein
LFT_00066	CDS	1104	xerC_1			Tyrosine recombinase XerC
LFT_00067	tRNA	77				tRNA-Arg(acg)
LFT_00068	CDS	2487	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
LFT_00069	CDS	720				hypothetical protein
LFT_00070	CDS	1047				hypothetical protein
LFT_00071	CDS	264	rpsT		COG0268	30S ribosomal protein S20
LFT_00072	CDS	1635	murJ		COG0728	putative lipid II flippase MurJ
LFT_00073	CDS	561				hypothetical protein
LFT_00074	CDS	1044	bchB	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
LFT_00075	CDS	492				hypothetical protein
LFT_00076	CDS	204				hypothetical protein
LFT_00077	CDS	924	ttuA	2.8.1.15	COG0037	tRNA-5-methyluridine(54) 2-sulfurtransferase
LFT_00078	CDS	975				hypothetical protein
LFT_00079	CDS	1275		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
LFT_00080	CDS	201				hypothetical protein
LFT_00081	CDS	318				hypothetical protein
LFT_00082	tRNA	75				tRNA-His(gtg)
LFT_00083	CDS	1173	menF	5.4.4.2		Isochorismate synthase MenF
LFT_00084	CDS	888				hypothetical protein
LFT_00085	CDS	420	rbr		COG1592	Rubrerythrin
LFT_00086	CDS	2262				hypothetical protein
LFT_00087	CDS	795				hypothetical protein
LFT_00088	CDS	585				hypothetical protein
LFT_00089	CDS	618				hypothetical protein
LFT_00090	CDS	996	swrC_1		COG0841	Swarming motility protein SwrC
LFT_00091	CDS	825	mdtC_1			Multidrug resistance protein MdtC
LFT_00092	CDS	1173	mdtB_1			Multidrug resistance protein MdtB
LFT_00093	tRNA	77				tRNA-Arg(tcg)
LFT_00094	CDS	132				hypothetical protein
LFT_00095	CDS	459				hypothetical protein
LFT_00096	tRNA	75				tRNA-Cys(gca)
LFT_00097	CDS	1464	proP_1			Proline/betaine transporter
LFT_00098	CDS	564	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
LFT_00099	CDS	1278	ectB	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate transaminase
LFT_00100	CDS	396	ectC	4.2.1.108		L-ectoine synthase
LFT_00101	CDS	918	ectD	1.14.11.55		Ectoine dioxygenase
LFT_00102	CDS	444				hypothetical protein
LFT_00103	CDS	462				hypothetical protein
LFT_00104	CDS	204				hypothetical protein
LFT_00105	CDS	912				hypothetical protein
LFT_00106	CDS	927				hypothetical protein
LFT_00107	CDS	297				hypothetical protein
LFT_00108	CDS	693				hypothetical protein
LFT_00109	CDS	1347	pafA	6.3.1.19		Pup--protein ligase
LFT_00110	CDS	690	prcA_1	3.4.25.1	COG0638	Proteasome subunit alpha
LFT_00111	CDS	810	prcB_1	3.4.25.1	COG0638	Proteasome subunit beta
LFT_00112	CDS	213	pup			Prokaryotic ubiquitin-like protein Pup
LFT_00113	CDS	1518	dop_1	3.4.-.-		Depupylase
LFT_00114	CDS	1740	arc		COG0464	Proteasome-associated ATPase
LFT_00115	CDS	477	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
LFT_00116	CDS	861				hypothetical protein
LFT_00117	CDS	609				hypothetical protein
LFT_00118	CDS	234				hypothetical protein
LFT_00119	CDS	348				hypothetical protein
LFT_00120	CDS	1005	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
LFT_00121	CDS	219				hypothetical protein
LFT_00122	CDS	3081	mdtB_2			Multidrug resistance protein MdtB
LFT_00123	CDS	207				hypothetical protein
LFT_00124	CDS	1050	mdtA_1			Multidrug resistance protein MdtA
LFT_00125	CDS	1419				hypothetical protein
LFT_00126	CDS	339	hlyU		COG0640	Transcriptional activator HlyU
LFT_00127	CDS	270				hypothetical protein
LFT_00128	CDS	1161	uvrB_1		COG0556	UvrABC system protein B
LFT_00129	CDS	948	uvrB_2			UvrABC system protein B
LFT_00130	CDS	354				hypothetical protein
LFT_00131	CDS	720				hypothetical protein
LFT_00132	CDS	1392	pepN_1	3.4.11.2	COG0308	Aminopeptidase N
LFT_00133	CDS	1194	pepN_2	3.4.11.2		Aminopeptidase N
LFT_00134	CDS	453				hypothetical protein
LFT_00135	CDS	762				hypothetical protein
LFT_00136	CDS	705				hypothetical protein
LFT_00137	CDS	762				hypothetical protein
LFT_00138	CDS	1251				hypothetical protein
LFT_00139	CDS	2532	copA	7.2.2.8		Copper-exporting P-type ATPase
LFT_00140	CDS	1308	amt			Ammonia channel
LFT_00141	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II 1
LFT_00142	CDS	1473	amtB			Ammonia channel
LFT_00143	CDS	1530				hypothetical protein
LFT_00144	CDS	435				hypothetical protein
LFT_00145	CDS	1206	mdeA	4.4.1.11		L-methionine gamma-lyase
LFT_00146	CDS	1098				hypothetical protein
LFT_00147	CDS	912	dppB		COG0601	Dipeptide transport system permease protein DppB
LFT_00148	CDS	489	oppC		COG1173	Oligopeptide transport system permease protein OppC
LFT_00149	CDS	363				hypothetical protein
LFT_00150	CDS	246				hypothetical protein
LFT_00151	CDS	381				hypothetical protein
LFT_00152	CDS	351				hypothetical protein
LFT_00153	CDS	627				hypothetical protein
LFT_00154	CDS	1059			COG4447	Ycf48-like protein
LFT_00155	CDS	672				hypothetical protein
LFT_00156	CDS	693	vldH	3.1.3.101		Validoxylamine A 7'-phosphate phosphatase
LFT_00157	CDS	534	yrdA		COG0663	Protein YrdA
LFT_00158	CDS	1641	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
LFT_00159	CDS	462	dctD			C4-dicarboxylate transport transcriptional regulatory protein DctD
LFT_00160	CDS	1503	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
LFT_00161	CDS	534	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
LFT_00162	CDS	627	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
LFT_00163	CDS	999	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
LFT_00164	CDS	726				hypothetical protein
LFT_00165	CDS	927				hypothetical protein
LFT_00166	CDS	783				hypothetical protein
LFT_00167	CDS	303				hypothetical protein
LFT_00168	CDS	195				hypothetical protein
LFT_00169	CDS	498				hypothetical protein
LFT_00170	CDS	315	isdG	1.14.14.18		Heme oxygenase (staphylobilin-producing)
LFT_00171	CDS	987	thiI	2.8.1.4		tRNA sulfurtransferase
LFT_00172	CDS	936				hypothetical protein
LFT_00173	CDS	120				hypothetical protein
LFT_00174	CDS	330				hypothetical protein
LFT_00175	CDS	690	dmpP	1.14.13.7		Phenol hydroxylase P5 protein
LFT_00176	CDS	1257				putative MFS-type transporter
LFT_00177	CDS	660				hypothetical protein
LFT_00178	CDS	768				hypothetical protein
LFT_00179	CDS	1617				hypothetical protein
